year,variable,n,missing_n,missing_pct,unique_n,mean,sd,p50,p95,zero_pct
2022,hour_sin,20206,0,0,22,-0.25249011902444607,0.6787998921839468,-0.4999999999999997,0.9659258262890683,7.1067999604078
2023,hour_sin,20668,0,0,22,-0.24645396294473024,0.6762783357842375,-0.4999999999999997,0.9659258262890683,7.567253725566092
2024,hour_sin,20691,0,0,22,-0.24282740761262359,0.6751597912148635,-0.4999999999999997,0.9659258262890683,7.892320332511719
2016,intensidad,10189,2095,20.561389734026893,3453,1932.9441561650606,1987.1740548266712,1522,5880.449999999974,0.13590313812700766
2017,intensidad,10409,3122,29.993275050437123,3216,1801.5283381364072,1895.9766274028073,1412,5272.699999999998,0.1783998902154522
2018,intensidad,10675,1667,15.615925058548008,3563,1865.8896536412078,1869.5235668107678,1513,5311.65,0.19982238010657194
2019,intensidad,21933,5137,23.421328591619933,5906,2393.5506072874496,2865.9035591518536,1405.5,7972.25,0.1905215527506549
2020,intensidad,14168,3268,23.066064370412196,4352,2003.2522018348625,2582.089226715876,1130,6888.299999999996,0.2477064220183486
2021,intensidad,17944,3235,18.02831029870709,5115,2123.7729961248215,2985.7883571823904,1187,7186.399999999994,0.5506832551499082
2022,intensidad,20206,3390,16.777194892606158,5099,1928.2305542340628,2428.7431227973266,1133,6312.75,0.35680304471931495
2023,intensidad,20668,2462,11.912134700987034,5568,2081.8381302867188,2692.5666059831437,1160,7284,0.3240689882456333
2024,intensidad,20691,2206,10.661640326712098,5615,2059.506735190695,2688.0995887962354,1152,7140,0.37868542061130644
2016,is_weekend,10189,0,0,2,0.21091373049366965,0.4079772843955342,0,1,78.90862695063304
2017,is_weekend,10409,0,0,2,0.20943414352963782,0.40692430641527855,0,1,79.05658564703621
2018,is_weekend,10675,0,0,2,0.20533957845433257,0.40396846800582575,0,1,79.46604215456674
2019,is_weekend,21933,0,0,2,0.23124971504126202,0.4216413048934859,0,1,76.87502849587379
2020,is_weekend,14168,0,0,2,0.23927159796725014,0.42665389789753955,0,1,76.07284020327498
2021,is_weekend,17944,0,0,2,0.24882969237628177,0.43234695978765114,0,1,75.11703076237183
2022,is_weekend,20206,0,0,2,0.2452241908344056,0.4302306911792119,0,1,75.47758091655943
2023,is_weekend,20668,0,0,2,0.24782272111476678,0.43175877471537855,0,1,75.21772788852333
2024,is_weekend,20691,0,0,2,0.23976608187134504,0.4269509548259479,0,1,76.0233918128655
2016,ocupacion,10189,2095,20.561389734026893,291,6.6237748126184,9.825863440714073,3.5,24.25,2.3721275018532246
2017,ocupacion,10409,3122,29.993275050437123,293,6.537040849000503,10.437404889269411,2.75,26.308333333333316,3.444490188006038
2018,ocupacion,10675,1745,16.346604215456676,293,6.454432624113475,10.139796854478506,2.75,25,2.0604703247480405
2019,ocupacion,21933,5137,23.421328591619933,357,9.516328292450584,12.158568229220885,5.5,36.25,3.4710645391759942
2020,ocupacion,14168,3272,23.094297007340487,318,7.5207262604013705,10.546798806233006,4.25,28.75,5.240455212922173
2021,ocupacion,17944,3237,18.039456085599642,336,7.956500305976745,10.816791947041109,4.5,30.5,4.61684911946692
2022,ocupacion,20206,3401,16.83163416806889,344,7.90735396211445,10.890282349108771,4.25,30.5,4.843796489140137
2023,ocupacion,20668,2469,11.946003483646217,352,7.976843965785666,11.081576821526589,4.25,30.5,4.4562888070773115
2024,ocupacion,20691,2210,10.68097240346044,364,8.330817235719568,11.449232991740764,4.5,33,4.842811536172285
2016,vmed,10189,2095,20.561389734026893,107,1.1234865332344948,8.642660443353762,0,0,98.20854954287125
2017,vmed,10409,3122,29.993275050437123,96,1.0129225561502218,8.206882172837373,0,0,98.40812405653904
2018,vmed,10675,4126,38.65105386416862,129,1.809054817529394,11.166762405826484,0,0,97.23621927011757
2019,vmed,21933,5142,23.444125290657915,338,6.357840509796915,19.822418908771574,0,65.75,90.0065511285808
2020,vmed,14168,3273,23.101355166572556,297,5.994385803885574,19.775145176461997,0,65.75,90.85819183111519
2021,vmed,17944,3238,18.04502897904592,323,6.176441588467292,19.704884381329965,0,65,90.41887664898681
2022,vmed,20206,3391,16.782143917648224,270,3.7887848151452075,15.55706650975557,0,50.07499999999982,94.07671721677075
2023,vmed,20668,2467,11.936326688600737,321,5.7129324396095456,19.129196180834878,0,64,91.2642162518543
2024,vmed,20691,2214,10.700304480208786,336,5.222479298587433,18.224427672692425,0,62.25,91.83850192130757
