comparison_family,old_model,new_model,split,segment,metric,old_value,new_value,absolute_delta,relative_delta_pct,improvement_direction,improvement_label
poisson,poisson_a,poisson_a2,test,zero_obs,mae,0.022792910681383043,0.022364702304698853,-0.00042820837668419015,-1.8786910661390221,lower_is_better,material
poisson,poisson_a,poisson_a2,test,zero_obs,rmse,0.04046961218007406,0.034421214578016904,-0.006048397602057158,-14.945528944394468,lower_is_better,material
poisson,poisson_a,poisson_a2,test,zero_obs,predicted_mean,0.022792910681383043,0.022364702304698853,-0.00042820837668419015,-1.8786910661390221,contextual_readout,descriptive
poisson,poisson_a,poisson_a2,test,zero_obs,predicted_p95,0.06559667515175234,0.05884978979407289,-0.00674688535767945,-10.285407518096159,contextual_readout,descriptive
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,all,mean_poisson_deviance,0.2319868287134863,0.23345631597245892,0.0014694872589726127,0.6334356424982612,lower_is_better,marginal
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,all,mae,0.0633222022281359,0.06264667935644468,-0.000675522871691217,-1.06680255569359,lower_is_better,marginal
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,all,rmse,0.2041847615130476,0.20398178190510297,-0.0002029796079446311,-0.09940977301171444,lower_is_better,marginal
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,all,pearson_dispersion,1.4220530719473607,1.4420552215941076,0.020002149646746847,1.406568435547619,lower_is_better,marginal
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,all,calibration_mean_abs_gap,0.0116942659524021,0.012855043592550122,0.0011607776401480214,9.926041060401811,lower_is_better,marginal
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,all,calibration_max_abs_gap,0.0518475086525462,0.06036116514986051,0.00851365649731431,16.42057008827214,lower_is_better,marginal
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,positive_obs,mean_poisson_deviance,4.738548150550837,4.824887040954898,0.08633889040406029,1.8220536683588144,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,positive_obs,mae,0.9855967751972655,0.9917183973878319,0.006121622190566334,0.6211081797970678,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,positive_obs,rmse,1.0227054181702628,1.027422091713739,0.0047166735434762685,0.46119571282950056,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,positive_obs,predicted_mean,0.06888376736015633,0.06225770479593415,-0.006626062564222185,-9.619193052519982,contextual_readout,descriptive
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,positive_obs,predicted_p95,0.21917180560392346,0.18333760556485684,-0.03583420003906662,-16.349821976565924,contextual_readout,descriptive
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,zero_obs,mean_poisson_deviance,0.05365101980765244,0.0517620142867987,-0.0018890055208537412,-3.5209126082339735,lower_is_better,material
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,zero_obs,mae,0.02682550990382622,0.02588100714339935,-0.0009445027604268706,-3.5209126082339735,lower_is_better,material
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,zero_obs,rmse,0.04417407486287032,0.038504072262784995,-0.005670002600085322,-12.835588787511053,lower_is_better,material
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,zero_obs,predicted_mean,0.02682550990382622,0.02588100714339935,-0.0009445027604268706,-3.5209126082339735,contextual_readout,descriptive
negative_binomial,negative_binomial_b,negative_binomial_b2,validation,zero_obs,predicted_p95,0.07537507041856906,0.07033189831025002,-0.005043172108319033,-6.6907693489552225,contextual_readout,descriptive
negative_binomial,negative_binomial_b,negative_binomial_b2,test,all,mean_poisson_deviance,0.2938582001267832,0.29856759103841585,0.004709390911632638,1.6026066005987931,lower_is_better,none
