comparison_family,old_model,new_model,split,segment,metric,old_value,new_value,absolute_delta,relative_delta_pct,improvement_direction,improvement_label
poisson,poisson_a2,poisson_a3,test,all,mean_poisson_deviance,0.2994259728556387,0.29408979124438867,-0.005336181611250046,-1.7821371874853227,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,test,all,mae,0.0727016262550969,0.07440069448929203,0.0016990682341951335,2.3370429544910176,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,test,all,rmse,0.2372640071575801,0.23628780152231552,-0.0009762056352645709,-0.41144278348810787,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,test,all,pearson_dispersion,2.1665852125003524,1.9843910447118882,-0.1821941677884642,-8.409277730563048,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,test,all,calibration_mean_abs_gap,0.030278561215425,0.02791419037155866,-0.002364370843866339,-7.808729176543047,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,test,all,calibration_max_abs_gap,0.1429839126033271,0.1292756468436259,-0.013708265759701188,-9.58727839385073,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,test,positive_obs,mean_poisson_deviance,4.981997260242204,4.7999227108411935,-0.1820745494010101,-3.654649729617844,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,test,positive_obs,mae,0.9981410085306125,0.9917606810995911,-0.006380327431021349,-0.6392210495803576,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,test,positive_obs,rmse,1.034154191634016,1.0274928617741694,-0.0066613298598465764,-0.6441331393069478,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,test,positive_obs,predicted_mean,0.06043491067539546,0.06695171024399145,0.0065167995685959865,10.783170680268972,contextual_readout,descriptive
poisson,poisson_a2,poisson_a3,test,positive_obs,predicted_p95,0.18246900883977446,0.20402626277576597,0.021557253935991505,11.81420016092753,contextual_readout,descriptive
poisson,poisson_a2,poisson_a3,test,zero_obs,mean_poisson_deviance,0.044729404609397616,0.04900645747783381,0.004277052868436194,9.56206080940677,lower_is_better,none
poisson,poisson_a2,poisson_a3,test,zero_obs,mae,0.022364702304698808,0.024503228738916905,0.002138526434218097,9.56206080940677,lower_is_better,none
poisson,poisson_a2,poisson_a3,test,zero_obs,rmse,0.03442121457801688,0.03800499799013194,0.0035837834121150575,10.41155420007707,lower_is_better,none
poisson,poisson_a2,poisson_a3,test,zero_obs,predicted_mean,0.022364702304698808,0.024503228738916905,0.002138526434218097,9.56206080940677,contextual_readout,descriptive
poisson,poisson_a2,poisson_a3,test,zero_obs,predicted_p95,0.05884978979407285,0.06680432686947504,0.007954537075402196,13.516678824574749,contextual_readout,descriptive
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,all,mean_poisson_deviance,0.2334563159724589,0.2317820489315956,-0.001674267040863292,-0.7171650224536257,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,all,mae,0.0626466793564446,0.06435958927288095,0.001712909916436342,2.734238963713136,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,all,rmse,0.2039817819051029,0.2035386115189457,-0.00044317038615721005,-0.21725978762328063,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,all,pearson_dispersion,1.4420552215941076,1.3420712582134406,-0.09998396338066695,-6.933435133651853,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,all,calibration_mean_abs_gap,0.0128550435925501,0.010911981323565518,-0.0019430622689845817,-15.1151744838162,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,all,calibration_max_abs_gap,0.0603611651498605,0.05109087078199219,-0.00927029436786831,-15.358044108082852,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,positive_obs,mean_poisson_deviance,4.8248870409549,4.6802272029673775,-0.1446598379875228,-2.9982015487536255,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,positive_obs,mae,0.9917183973878319,0.9863783401271184,-0.0053400572607134045,-0.5384650798834646,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,positive_obs,rmse,1.0274220917137393,1.0218996399633133,-0.005522451750425983,-0.5375056459234332,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,positive_obs,predicted_mean,0.062257704795934114,0.06767852238063012,0.005420817584696001,8.707063009251861,contextual_readout,descriptive
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,positive_obs,predicted_p95,0.1833376055648568,0.1999975320017888,0.01665992643693201,9.087020846379747,contextual_readout,descriptive
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,zero_obs,mean_poisson_deviance,0.0517620142867986,0.05574604092832088,0.003984026641522281,7.69681531218612,lower_is_better,none
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,zero_obs,mae,0.0258810071433993,0.02787302046416044,0.0019920133207611407,7.69681531218612,lower_is_better,none
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,zero_obs,rmse,0.03850407226278496,0.04174528280979363,0.003241210547008669,8.417838313017532,lower_is_better,none
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,zero_obs,predicted_mean,0.0258810071433993,0.02787302046416044,0.0019920133207611407,7.69681531218612,contextual_readout,descriptive
negative_binomial,negative_binomial_b2,negative_binomial_b3,validation,zero_obs,predicted_p95,0.07033189831025001,0.07696211347611792,0.0066302151658679115,9.427038548882221,contextual_readout,descriptive
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,all,mean_poisson_deviance,0.2985675910384158,0.29240639186028666,-0.006161199178129129,-2.0635860565778508,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,all,mae,0.0729004669689693,0.074995179403427,0.0020947124344576906,2.873386854091514,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,all,rmse,0.2374648192614088,0.2363080852882976,-0.0011567339731111959,-0.4871180399307177,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,all,pearson_dispersion,2.087249430760449,1.8729345015299739,-0.21431492923047513,-10.267815914669749,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,all,calibration_mean_abs_gap,0.0301193546965613,0.027228352018594117,-0.0028910026779671825,-9.598488105381772,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,all,calibration_max_abs_gap,0.1439089935614753,0.1286138907822556,-0.015295102779219694,-10.628316132782837,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,positive_obs,mean_poisson_deviance,4.958404687884926,4.742428428472134,-0.21597625941279208,-4.355761036215857,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,positive_obs,mae,0.9985190534132888,0.9908538368601745,-0.007665216553114362,-0.7676585165713122,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,positive_obs,rmse,1.0351453485516402,1.0271154162081004,-0.00802993234353977,-0.7757299353926606,lower_is_better,marginal
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,positive_obs,predicted_mean,0.06004477800546463,0.06781568449651817,0.007770906491053546,12.941852312862782,contextual_readout,descriptive
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,positive_obs,predicted_p95,0.18027151623100046,0.20638002178233592,0.026108505551335454,14.482878991198996,contextual_readout,descriptive
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,zero_obs,mean_poisson_deviance,0.045107591326220366,0.050358749275914556,0.005251157949694191,11.641406236297462,lower_is_better,none
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,zero_obs,mae,0.022553795663110183,0.025179374637957278,0.0026255789748470953,11.641406236297462,lower_is_better,none
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,zero_obs,rmse,0.03426043850817669,0.038686804051257545,0.004426365543080853,12.919757410648563,lower_is_better,none
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,zero_obs,predicted_mean,0.022553795663110183,0.025179374637957278,0.0026255789748470953,11.641406236297462,contextual_readout,descriptive
negative_binomial,negative_binomial_b2,negative_binomial_b3,test,zero_obs,predicted_p95,0.06031477630231242,0.06826911277532144,0.00795433647300902,13.188039416974606,contextual_readout,descriptive
