sensor_id,accident_rows,years_present_n,first_year,last_year,top_distrito,top_temporal_bin_4h,cumulative_missing_rows,cumulative_missing_rows_pct,missing_sensor_rank,tipo_elem,distrito_sensor,sensor_name,latitud,longitud,in_official_sensor_locations
6986,46,8,2017,2024,vicÃ¡lvaro,12_15,11983,73.92,106,URB,19,Bulevar José Prat - Bulevar Indalecio Prieto-Cordel de Pavones,40.3969206710823,-3.62105338090864,TRUE
9833,46,6,2019,2024,latina,20_23,12029,74.21,107,URB,10,(MICRO)POBLADOS O-E (GIRO A AV. LAS AGUILAS),40.3854584804154,-3.76193087600915,TRUE
4281,45,9,2016,2024,centro,12_15,12074,74.48,108,URB,1,REYES O-E(SAN BERNARDO-AMANIEL)(FRENTE Mo JUSTICIA),40.4243350154074,-3.70799079982885,TRUE
11374,45,6,2019,2024,chamartÃ­n,12_15,12119,74.76,109,M30,5,PM13163,40.4832482587493,-3.68054820647889,TRUE
10751,44,8,2016,2024,moratalaz,16_19,12163,75.03,110,URB,14,Camino Vinateros - Corregidor Diego Valderrabano-Manuel Machado,40.4107884050029,-3.6586959434758,TRUE
4936,43,8,2017,2024,carabanchel,20_23,12206,75.3,111,,,,,,FALSE
5266,43,7,2018,2024,latina,16_19,12249,75.56,112,,,,,,FALSE
7034,43,9,2016,2024,retiro,08_11,12292,75.83,113,URB,3,(MICRO) IBIZA E-O(DR. ESQUEDO-MAIQUEZ)(DELANTE GRUPO 4),40.4180493075217,-3.67025344719361,TRUE
7081,43,8,2017,2024,chamartÃ­n,08_11,12335,76.1,114,,,,,,FALSE
10775,43,9,2016,2024,puente de vallecas,16_19,12378,76.36,115,URB,13,Av. Entrevías - Benemeji-La Mancha,40.3810699089073,-3.66803793517024,TRUE
3575,42,6,2019,2024,carabanchel,00_03,12420,76.62,116,,,,,,FALSE
4925,42,7,2017,2024,carabanchel,16_19,12462,76.88,117,URB,11,(MICRO) ALISEDA ENTRADA CRUCE  N-S,40.3736655237775,-3.74221396445704,TRUE
5704,42,7,2018,2024,tetuÃ¡n,16_19,12504,77.14,118,,,,,,FALSE
10680,42,8,2017,2024,carabanchel,16_19,12546,77.4,119,URB,11,(MICRO) PSO. QUINCE DE MAYO O-E (CCTV CITYLOG),40.3972338339402,-3.71685030590774,TRUE
10774,42,8,2016,2024,hortaleza,16_19,12588,77.66,120,,,,,,FALSE
11388,42,6,2019,2024,chamartÃ­n,08_11,12630,77.91,121,M30,5,PM13181,40.4837546247625,-3.67751069656391,TRUE
4253,41,8,2016,2024,centro,20_23,12671,78.17,122,,,,,,FALSE
5946,41,6,2018,2024,ciudad lineal,16_19,12712,78.42,123,URB,15,Concejal Julio Gómez - Concejal Julio Gómezz-Alcalá,40.4330058376131,-3.65039911434925,TRUE
7033,41,7,2018,2024,salamanca,12_15,12753,78.67,124,,,,,,FALSE
6577,40,7,2018,2024,fuencarral-el pardo,16_19,12793,78.92,125,,,,,,FALSE
10137,39,5,2019,2024,fuencarral-el pardo,16_19,12832,79.16,126,,,,,,FALSE
10073,38,6,2019,2024,fuencarral-el pardo,16_19,12870,79.4,127,URB,8,(MICRO)AV. MONASTERIO DE SILOS (DELANTE GRUPO 6),40.4962122711273,-3.71932544934002,TRUE
11376,38,7,2016,2024,fuencarral-el pardo,16_19,12908,79.63,128,M30,8,PM13011,40.4847855899682,-3.69715289229193,TRUE
9854,37,5,2020,2024,barajas,08_11,12945,79.86,129,URB,21,Av. Partenón - Ribera del Sena-Av. Capital de España,40.4634449277332,-3.61710836989315,TRUE
11351,37,7,2016,2024,moncloa-aravaca,08_11,12982,80.09,130,URB,9,(TACTICO) Salida Rectorado G.2,40.448948067804,-3.71876804443975,TRUE
11373,37,5,2019,2024,chamartÃ­n,08_11,13019,80.31,131,M30,5,PM13161,40.4833180883966,-3.68074651042,TRUE
3888,35,7,2017,2024,retiro,16_19,13054,80.53,132,,,,,,FALSE
9866,35,6,2019,2024,hortaleza,08_11,13089,80.75,133,URB,16,Av. Ingeniero Emilio Herrera - Princesa de Eboli-Infanta Catalina Micaela,40.490316235451,-3.65421846412774,TRUE
10532,35,7,2017,2024,fuencarral-el pardo,16_19,13124,80.96,134,URB,8,MARIA MAEZTU O-E(IRENE CABA ALBA-IRENE CABA ALBA),40.4872441746406,-3.7324600036979,TRUE
11380,35,6,2019,2024,fuencarral-el pardo,12_15,13159,81.18,135,M30,5,PM23183,40.4839800081891,-3.67772822653092,TRUE
4397,34,7,2016,2024,chamberÃ­,12_15,13193,81.39,136,URB,7,(MICRO) Gta. Ruiz Giménez E-O(Delante G. 2),40.4296604484818,-3.70606468027512,TRUE
5027,34,8,2016,2024,moncloa-aravaca,12_15,13227,81.6,137,,,,,,FALSE
9870,34,8,2016,2023,hortaleza,12_15,13261,81.81,138,URB,16,Príncipe Carlos - María Tudor-Isabel de Valois,40.4952045387658,-3.65874152096052,TRUE
