section,variable,overall_missing_pct,covered_missing_pct,covered_median,covered_p95,covered_p99,train_transform,model_spec,split,scope,mean_poisson_deviance,mean_poisson_deviance_base,delta_mean_poisson_deviance,mae,mae_base,delta_mae,rmse,rmse_base,delta_rmse,calibration_mean_abs_gap_decile,calibration_gap_base,delta_calibration_gap,estimate,std_error,z_value,abs_z_value,p_value,exp_estimate,effect_direction
traffic_term_coefficient,traffic_ocupacion_imputed,,,,,,,traffic_B_core_support,,,,,,,,,,,,,,,0.00590632437113625,0.00188759439597114,3.12902198890962,3.12902198890962,0.00175389182734724,1.00592380109572,positive
traffic_term_coefficient,log1p_traffic_n_observations,,,,,,,traffic_B_core_support,,,,,,,,,,,,,,,-0.0671684799688348,0.0601821197562021,-1.11608697468508,1.11608697468508,0.264384907051176,0.935037652950647,negative
traffic_term_coefficient,log1p_traffic_support_n,,,,,,,traffic_B_core_support,,,,,,,,,,,,,,,1.87251365396628,0.261547922326779,7.15935205031662,7.15935205031662,8.10592740386948e-13,6.50462624645944,positive
traffic_term_coefficient,traffic_covered_flag,,,,,,,traffic_C_core_support_vmed,,,,,,,,,,,,,,,-0.89289759419791,0.321480299018915,-2.77745664951423,2.77745664951423,0.00547861477098368,0.409467561305496,negative
traffic_term_coefficient,traffic_missing_due_to_no_time_flag,,,,,,,traffic_C_core_support_vmed,,,,,,,,,,,,,,,-1.41099960883247,0.451407696524573,-3.12577658665522,3.12577658665522,0.00177336219945301,0.243899357306734,negative
traffic_term_coefficient,traffic_intensidad_imputed,,,,,,,traffic_C_core_support_vmed,,,,,,,,,,,,,,,6.57071084559086e-05,3.56015485226519e-05,1.84562501302722,1.84562501302722,0.0649466720520318,1.00006570926722,positive
traffic_term_coefficient,traffic_ocupacion_imputed,,,,,,,traffic_C_core_support_vmed,,,,,,,,,,,,,,,0.00582135491933923,0.00189736171333254,3.06813133122337,3.06813133122337,0.00215401929961832,1.00583833193297,positive
traffic_term_coefficient,log1p_traffic_n_observations,,,,,,,traffic_C_core_support_vmed,,,,,,,,,,,,,,,-0.0680943571193562,0.0601800886237699,-1.131509751424,1.131509751424,0.257840601444795,0.934172323609052,negative
traffic_term_coefficient,log1p_traffic_support_n,,,,,,,traffic_C_core_support_vmed,,,,,,,,,,,,,,,1.8738830008487,0.26161603016876,7.16272240519787,7.16272240519787,7.90904047275102e-13,6.51353943736367,positive
traffic_term_coefficient,traffic_vmed_imputed,,,,,,,traffic_C_core_support_vmed,,,,,,,,,,,,,,,-0.000602859524474067,0.00121325814436223,-0.496893037376618,0.496893037376618,0.61926448171236,0.999397322158817,negative
traffic_term_coefficient,traffic_covered_flag,,,,,,,traffic_D_transformed,,,,,,,,,,,,,,,-0.739809624457667,0.324414193686433,-2.28044776971978,2.28044776971978,0.0225811451792288,0.477204754987988,negative
traffic_term_coefficient,traffic_missing_due_to_no_time_flag,,,,,,,traffic_D_transformed,,,,,,,,,,,,,,,-1.41308853920134,0.451406677470578,-3.13041124495426,3.13041124495426,0.00174561739792697,0.243390400305254,negative
traffic_term_coefficient,traffic_intensidad_wins_log,,,,,,,traffic_D_transformed,,,,,,,,,,,,,,,0.0589750495143996,0.0170519264043707,3.45855641854538,3.45855641854538,0.000543078517043761,1.06074877421297,positive
traffic_term_coefficient,traffic_ocupacion_wins,,,,,,,traffic_D_transformed,,,,,,,,,,,,,,,0.00662217860122642,0.0021525475245396,3.07643781413969,3.07643781413969,0.00209489995306757,1.00664415370685,positive
traffic_term_coefficient,log1p_traffic_n_observations,,,,,,,traffic_D_transformed,,,,,,,,,,,,,,,-0.097092414429977,0.0608148069569401,-1.5965259003243,1.5965259003243,0.11037142787932,0.907472138737632,negative
traffic_term_coefficient,log1p_traffic_support_n,,,,,,,traffic_D_transformed,,,,,,,,,,,,,,,1.88373172140421,0.261518356945023,7.20305734331381,7.20305734331381,5.88771965542654e-13,6.57800640458957,positive
