model_spec,split,scope,n_rows,target_mean,target_variance,zero_pct,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_mean_abs_gap_decile,mean_poisson_deviance_base,mae_base,rmse_base,pearson_dispersion_base,calibration_gap_base,delta_mean_poisson_deviance,delta_mae,delta_rmse,delta_pearson_dispersion,delta_calibration_gap,traffic_block_description,includes_traffic,includes_support_quality,includes_vmed,uses_transformed_traffic
traffic_C_core_support_vmed,validation,positive_only,1591,1.01319924575739,0.0180646640497452,0,5.71768586547709,0.985037239541875,0.994045703431404,58.7616525721661,0.985038751692909,5.78755825308859,0.986460664408488,0.995505955233076,60.0407714555654,0.986462712319066,-0.069872387611496,-0.00142342486661273,-0.00146025180167242,-1.27911888339937,-0.00142396062615713,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,validation,zero_only,73013,0,0,100,0.0333491419450732,0.0166745709725366,0.0215266846626388,0.0166745709725366,0.0166747194977059,0.032807037689111,0.0164035188445555,0.0208847639673523,0.0164035188445555,0.0164036623550818,0.000542104255962149,0.000271052127981074,0.000641920695286569,0.000271052127981074,0.000271057142624084,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,test,overall,74604,0.0261514127928797,0.0260040292433426,97.409,0.180732611320836,0.0403010798100358,0.160300481556727,51.9373347986189,0.0107032319365755,0.182501988736839,0.0399049252405633,0.160472465753578,54.9724888962861,0.0111233386268181,-0.00176937741600261,0.000396154569472514,-0.000171984196851771,-3.03515409766718,-0.000420106690242622,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,test,covered_only,66417,0.0264239577216676,0.0263283840369561,97.3847,0.182357872716501,0.0409541220704466,0.161284385987107,58.1295648840278,0.0106698236945256,0.18401049600482,0.0401685324423121,0.1614645155341,61.5512076689944,0.0114339039120753,-0.00165262328831919,0.000785589628134506,-0.000180129546993646,-3.42164278496655,-0.000764080217549737,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,test,positive_only,1933,1.00931195033626,0.0113004062598071,0,5.83021500698306,0.982843608332752,0.988463300518065,2003.94523551626,0.982836947192044,5.93244283751385,0.984523466757662,0.990230621858093,2121.10376535806,0.984529032355958,-0.10222783053079,-0.00167985842491014,-0.00176732134002811,-117.158529841799,-0.00169208516391439,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,test,zero_only,72671,0,0,100,0.0304601577862064,0.0152300788931032,0.019763926806407,0.0152300788931032,0.0152301421997361,0.0295574075327,0.01477870376635,0.0188210139789927,0.01477870376635,0.0147787634905142,0.000902750253506321,0.00045137512675316,0.000942912827414308,0.00045137512675316,0.000451378709221904,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_D_transformed,train,overall,149208,0.0230148517505764,0.0227936155749296,97.7139,0.160438099370653,0.0442674578942033,0.149756018364509,1.02469478301896,0.00265214855405923,0.161049996606558,0.0443191118631956,0.149850700181895,1.02414019923208,0.0029123719388742,-0.000611897235904629,-5.1653968992274e-05,-9.46818173857e-05,0.000554583786877227,-0.000260223384814969,Covered flag + no-time flag + robust transformed traffic core + support/quality.,TRUE,TRUE,FALSE,TRUE
traffic_D_transformed,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.6833,0.16234557444879,0.0448463671906113,0.150739167668477,1.02707050941131,0.00263791419225619,0.162871518618636,0.0446442334017191,0.150830068350502,1.04271751456482,0.00297594617619647,-0.000525944169845805,0.000202133788892188,-9.09006820251079e-05,-0.0156470051535109,-0.000338031983940282,Covered flag + no-time flag + robust transformed traffic core + support/quality.,TRUE,TRUE,FALSE,TRUE
traffic_D_transformed,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,5.08167371131567,0.96819976742274,0.971792319224649,43.8552124696258,0.968199284056739,5.10618053550114,0.969329521942322,0.972904263546096,43.8298234545536,0.969329153449218,-0.0245068241854716,-0.00112975451958153,-0.00111194432144757,0.0253890150722569,-0.00112986939247872,Covered flag + no-time flag + robust transformed traffic core + support/quality.,TRUE,TRUE,FALSE,TRUE
traffic_D_transformed,train,zero_only,145797,0,0,100,0.0453031194167138,0.0226515597083569,0.0292790611518209,0.0226515597083569,0.0226515686026986,0.0453559818588643,0.0226779909294322,0.0289085456143068,0.0226779909294322,0.0226779942731727,-5.28624421504767e-05,-2.64312210752383e-05,0.000370515537514087,-2.64312210752383e-05,-2.6425670474152e-05,Covered flag + no-time flag + robust transformed traffic core + support/quality.,TRUE,TRUE,FALSE,TRUE
